Filename,Duration,IntervalTime,F1,F2,F3,F1c,F2c,F3c
Vowel_Heart,13.44,10.8,363,664,3481,363,664,3481
Vowel_Heart,13.44,10.805,363,666,3447,363,666,3447
Vowel_Heart,13.44,10.81,364,668,3413,364,668,3413
Vowel_Heart,13.44,10.815,365,668,3399,365,668,3399
Vowel_Heart,13.44,10.82,365,668,3386,365,668,3386
Vowel_Heart,13.44,10.825,366,670,3362,366,670,3362
Vowel_Heart,13.44,10.83,368,672,3338,368,672,3338
Vowel_Heart,13.44,10.835,370,673,3277,370,673,3277
Vowel_Heart,13.44,10.84,372,674,3217,372,674,3217
Vowel_Heart,13.44,10.845,378,687,3262,378,687,3262
Vowel_Heart,13.44,10.85,385,700,3306,385,700,3306
Vowel_Heart,13.44,10.855,393,710,3340,393,710,3340
Vowel_Heart,13.44,10.86,400,720,3373,400,720,3373
Vowel_Heart,13.44,10.865,401,734,3335,401,734,3335
Vowel_Heart,13.44,10.87,401,748,3298,401,748,3298
Vowel_Heart,13.44,10.875,403,755,3346,403,755,3346
Vowel_Heart,13.44,10.88,405,762,3394,405,762,3394
Vowel_Heart,13.44,10.885,405,775,3375,405,775,3375
Vowel_Heart,13.44,10.89,405,788,3357,405,788,3357
Vowel_Heart,13.44,10.895,406,795,3270,406,795,3270
Vowel_Heart,13.44,10.9,408,802,3183,408,802,3183
Vowel_Heart,13.44,10.905,412,809,3180,412,809,3180
Vowel_Heart,13.44,10.91,415,816,3177,415,816,3177
Vowel_Heart,13.44,10.915,420,818,3183,420,818,3183
Vowel_Heart,13.44,10.92,425,821,3190,425,821,3190
Vowel_Heart,13.44,10.925,427,822,3187,427,822,3187
Vowel_Heart,13.44,10.93,430,823,3184,430,823,3184
Vowel_Heart,13.44,10.935,432,822,3191,432,822,3191
Vowel_Heart,13.44,10.94,434,820,3198,434,820,3198
Vowel_Heart,13.44,10.945,435,822,3216,435,822,3216
Vowel_Heart,13.44,10.95,436,825,3234,436,825,3234
Vowel_Heart,13.44,10.955,437,828,3142,437,828,3142
Vowel_Heart,13.44,10.96,439,831,3050,439,831,3050
Vowel_Heart,13.44,10.965,440,831,3058,440,831,3058
Vowel_Heart,13.44,10.97,440,831,3067,440,831,3067
Vowel_Heart,13.44,10.975,441,832,3046,441,832,3046
Vowel_Heart,13.44,10.98,442,834,3025,442,834,3025
Vowel_Heart,13.44,10.985,443,835,2943,443,835,2943
Vowel_Heart,13.44,10.99,444,836,2860,444,836,2860
Vowel_Heart,13.44,10.995,446,839,2944,446,839,2944
Vowel_Heart,13.44,11,448,841,3027,448,841,3027
Vowel_Heart,13.44,11.005,449,841,2970,449,841,2970
Vowel_Heart,13.44,11.01,450,841,2912,450,841,2912
Vowel_Heart,13.44,11.015,452,845,2974,452,845,2974
Vowel_Heart,13.44,11.02,454,849,3036,454,849,3036
Vowel_Heart,13.44,11.025,456,851,3006,456,851,3006
Vowel_Heart,13.44,11.03,458,854,2976,458,854,2976
Vowel_Heart,13.44,11.035,460,859,3049,460,859,3049
Vowel_Heart,13.44,11.04,462,863,3122,462,863,3122
Vowel_Heart,13.44,11.045,465,867,3091,465,867,3091
Vowel_Heart,13.44,11.05,468,870,3059,468,870,3059
Vowel_Heart,13.44,11.055,467,875,2962,467,875,2962
Vowel_Heart,13.44,11.06,466,880,2865,466,880,2865
Vowel_Heart,13.44,11.065,467,889,2908,467,889,2908
Vowel_Heart,13.44,11.07,469,899,2951,469,899,2951
Vowel_Heart,13.44,11.075,469,908,2947,469,908,2947
Vowel_Heart,13.44,11.08,469,917,2942,469,917,2942
Vowel_Heart,13.44,11.085,467,926,2911,467,926,2911
Vowel_Heart,13.44,11.09,466,936,2880,466,936,2880
Vowel_Heart,13.44,11.095,467,941,2903,467,941,2903
Vowel_Heart,13.44,11.1,467,946,2927,467,946,2927
Vowel_Heart,13.44,11.105,467,951,2940,467,951,2940
Vowel_Heart,13.44,11.11,466,957,2954,466,957,2954
Vowel_Heart,13.44,11.115,466,960,2943,466,960,2943
Vowel_Heart,13.44,11.12,466,963,2932,466,963,2932
Vowel_Heart,13.44,11.125,467,964,2869,467,964,2869
Vowel_Heart,13.44,11.13,468,966,2806,468,966,2806
Vowel_Heart,13.44,11.135,470,968,2858,470,968,2858
Vowel_Heart,13.44,11.14,473,970,2911,473,970,2911
Vowel_Heart,13.44,11.145,472,970,2887,472,970,2887
Vowel_Heart,13.44,11.15,472,971,2862,472,971,2862
Vowel_Heart,13.44,11.155,474,974,2892,474,974,2892
Vowel_Heart,13.44,11.16,475,976,2922,475,976,2922
Vowel_Heart,13.44,11.165,477,978,2910,477,978,2910
Vowel_Heart,13.44,11.17,478,979,2899,478,979,2899
Vowel_Heart,13.44,11.175,481,985,2824,481,985,2824
Vowel_Heart,13.44,11.18,483,991,2750,483,991,2750
Vowel_Heart,13.44,11.185,486,998,2716,486,998,2716
Vowel_Heart,13.44,11.19,489,1006,2681,489,1006,2681
Vowel_Heart,13.44,11.195,498,1026,2789,498,1026,2789
Vowel_Heart,13.44,11.2,508,1047,2897,508,1047,2897
Vowel_Heart,13.44,11.205,513,1051,2798,513,1051,2798
Vowel_Heart,13.44,11.21,519,1055,2699,519,1055,2699
Vowel_Heart,13.44,11.215,526,1064,2474,526,1064,2474
Vowel_Heart,13.44,11.22,533,1073,2248,533,1073,2248
Vowel_Heart,13.44,11.225,537,1090,2246,537,1090,2246
Vowel_Heart,13.44,11.23,542,1107,2243,542,1107,2243
Vowel_Heart,13.44,11.235,544,1118,2373,544,1118,2373
Vowel_Heart,13.44,11.24,546,1129,2503,546,1129,2503
Vowel_Heart,13.44,11.245,557,1139,2377,557,1139,2377
Vowel_Heart,13.44,11.25,567,1149,2251,567,1149,2251
Vowel_Heart,13.44,11.255,566,1148,2260,566,1148,2260
Vowel_Heart,13.44,11.26,566,1147,2270,566,1147,2270
Vowel_Heart,13.44,11.265,575,1148,2245,575,1148,2245
Vowel_Heart,13.44,11.27,585,1149,2220,585,1149,2220
Vowel_Heart,13.44,11.275,594,1150,2301,594,1150,2301
Vowel_Heart,13.44,11.28,604,1151,2381,604,1151,2381
Vowel_Heart,13.44,11.285,612,1152,2304,612,1152,2304
Vowel_Heart,13.44,11.29,620,1154,2228,620,1154,2228
Vowel_Heart,13.44,11.295,636,1164,2283,636,1164,2283
Vowel_Heart,13.44,11.3,652,1175,2338,652,1175,2338
Vowel_Heart,13.44,11.305,657,1183,2374,657,1183,2374
Vowel_Heart,13.44,11.31,662,1192,2409,662,1192,2409
Vowel_Heart,13.44,11.315,665,1211,2399,665,1211,2399
Vowel_Heart,13.44,11.32,667,1230,2389,667,1230,2389
Vowel_Heart,13.44,11.325,672,1239,2342,672,1239,2342
Vowel_Heart,13.44,11.33,677,1249,2296,677,1249,2296
Vowel_Heart,13.44,11.335,682,1253,2289,682,1253,2289
Vowel_Heart,13.44,11.34,688,1257,2281,688,1257,2281
Vowel_Heart,13.44,11.345,693,1259,2276,693,1259,2276
Vowel_Heart,13.44,11.35,697,1261,2270,697,1261,2270
Vowel_Heart,13.44,11.355,702,1271,2344,702,1271,2344
Vowel_Heart,13.44,11.36,707,1280,2417,707,1280,2417
Vowel_Heart,13.44,11.365,711,1294,2361,711,1294,2361
Vowel_Heart,13.44,11.37,715,1307,2306,715,1307,2306
Vowel_Heart,13.44,11.375,722,1297,2318,722,1297,2318
Vowel_Heart,13.44,11.38,729,1287,2331,729,1287,2331
Vowel_Heart,13.44,11.385,728,1291,2324,728,1291,2324
Vowel_Heart,13.44,11.39,727,1295,2316,727,1295,2316
Vowel_Heart,13.44,11.395,736,1306,2322,736,1306,2322
